iter	Passed	Remaining
0	2	261
1	5	248
2	7	236
3	9	225
4	11	227
5	14	226
6	17	227
7	19	224
8	22	224
9	24	221
10	27	219
11	29	217
12	32	214
13	34	212
14	37	210
15	39	207
16	42	205
17	44	202
18	47	201
19	49	199
20	52	197
21	54	194
22	57	191
23	59	189
24	62	186
25	65	185
26	67	183
27	70	180
28	72	177
29	74	174
30	77	172
31	79	169
32	82	166
33	84	164
34	86	161
35	89	159
36	92	156
37	94	154
38	96	151
39	99	148
40	101	146
41	102	142
42	105	139
43	108	137
44	110	135
45	113	132
46	115	130
47	118	128
48	121	125
49	123	123
50	125	120
51	128	118
52	131	116
53	133	113
54	135	110
55	137	108
56	140	105
57	142	103
58	145	100
59	147	98
60	149	95
61	153	93
62	155	91
63	158	89
64	160	86
65	163	84
66	166	82
67	169	79
68	172	77
69	174	74
70	178	72
71	181	70
72	184	68
73	187	65
74	189	63
75	192	60
76	195	58
77	197	55
78	200	53
79	202	50
80	205	48
81	207	45
82	209	42
83	212	40
84	214	37
85	217	35
86	219	32
87	222	30
88	224	27
89	227	25
90	229	22
91	232	20
92	235	17
93	237	15
94	239	12
95	242	10
96	245	7
97	247	5
98	250	2
99	252	0
